t,xe,ye,vxe,vye,xm,ym,vxm,vym
777800.000000,6528537.591010,-6446609.178804,10.418883,2.030347,-174530474.483636,347378081.727304,-892.859667,-437.855530
777900.000000,6529579.411918,-6446406.012464,10.417536,2.032980,-174619754.675914,347334284.892333,-892.744169,-438.081165
778000.000000,6530621.098079,-6446202.582885,10.416188,2.035612,-174709023.315666,347290465.495462,-892.628616,-438.306768
778100.000000,6531662.649427,-6445998.890103,10.414839,2.038244,-174798280.397307,347246623.539835,-892.513007,-438.532340
778200.000000,6532704.065897,-6445794.934154,10.413490,2.040875,-174887525.915252,347202759.028602,-892.397342,-438.757880
778300.000000,6533745.347425,-6445590.715076,10.412140,2.043506,-174976759.863917,347158871.964910,-892.281622,-438.983389
778400.000000,6534786.493944,-6445386.232905,10.410790,2.046137,-175065982.237717,347114962.351909,-892.165845,-439.208866
778500.000000,6535827.505391,-6445181.487678,10.409439,2.048767,-175155193.031072,347071030.192751,-892.050013,-439.434312
778600.000000,6536868.381699,-6444976.479431,10.408087,2.051397,-175244392.238399,347027075.490588,-891.934125,-439.659726
778700.000000,6537909.122804,-6444771.208202,10.406735,2.054027,-175333579.854118,346983098.248574,-891.818181,-439.885109
778800.000000,6538949.728640,-6444565.674027,10.405382,2.056656,-175422755.872648,346939098.469865,-891.702181,-440.110460
778900.000000,6539990.199143,-6444359.876943,10.404028,2.059285,-175511920.288412,346895076.157618,-891.586125,-440.335780
779000.000000,6541030.534247,-6444153.816986,10.402674,2.061914,-175601073.095831,346851031.314989,-891.470014,-440.561068
779100.000000,6542070.733888,-6443947.494195,10.401319,2.064542,-175690214.289329,346806963.945138,-891.353847,-440.786324
779200.000000,6543110.797999,-6443740.908605,10.399963,2.067170,-175779343.863328,346762874.051227,-891.237624,-441.011549
779300.000000,6544150.726517,-6443534.060254,10.398607,2.069797,-175868461.812255,346718761.636416,-891.121345,-441.236742
779400.000000,6545190.519376,-6443326.949178,10.397250,2.072424,-175957568.130534,346674626.703869,-891.005011,-441.461904
779500.000000,6546230.176511,-6443119.575414,10.395893,2.075051,-176046662.812592,346630469.256750,-890.888621,-441.687034
779600.000000,6547269.697858,-6442911.938999,10.394534,2.077677,-176135745.852857,346586289.298226,-890.772175,-441.912132
779700.000000,6548309.083350,-6442704.039971,10.393175,2.080303,-176224817.245757,346542086.831463,-890.655674,-442.137198
779800.000000,6549348.332924,-6442495.878366,10.391816,2.082929,-176313876.985721,346497861.859630,-890.539116,-442.362233
779900.000000,6550387.446513,-6442287.454220,10.390456,2.085554,-176402925.067179,346453614.385896,-890.422504,-442.587236
780000.000000,6551426.424054,-6442078.767572,10.389095,2.088179,-176491961.484562,346409344.413434,-890.305835,-442.812208
780100.000000,6552465.265481,-6441869.818458,10.387734,2.090803,-176580986.232303,346365051.945414,-890.189111,-443.037147
780200.000000,6553503.970729,-6441660.606915,10.386371,2.093427,-176669999.304834,346320736.985011,-890.072331,-443.262055
780300.000000,6554542.539734,-6441451.132980,10.385009,2.096051,-176759000.696589,346276399.535401,-889.955495,-443.486932
780400.000000,6555580.972430,-6441241.396690,10.383645,2.098675,-176847990.402003,346232039.599758,-889.838604,-443.711776
780500.000000,6556619.268752,-6441031.398083,10.382281,2.101298,-176936968.415510,346187657.181261,-889.721657,-443.936589
