x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
1.770000e+000	9.802245e-001	-3.801781e-008	-2.809123e-008	-1.978888e-001	-1.978888e-001
1.780000e+000	9.781966e-001	-3.938732e-008	-2.948128e-008	-2.076810e-001	-2.076810e-001
1.790000e+000	9.760709e-001	-4.075289e-008	-3.086838e-008	-2.174524e-001	-2.174524e-001
1.800000e+000	9.738476e-001	-4.211439e-008	-3.225239e-008	-2.272021e-001	-2.272021e-001
1.810000e+000	9.715270e-001	-4.347167e-008	-3.363317e-008	-2.369290e-001	-2.369290e-001
1.820000e+000	9.691091e-001	-4.482461e-008	-3.501060e-008	-2.466323e-001	-2.466323e-001
1.830000e+000	9.665944e-001	-4.617307e-008	-3.638452e-008	-2.563109e-001	-2.563109e-001
1.840000e+000	9.639830e-001	-4.751690e-008	-3.775480e-008	-2.659638e-001	-2.659638e-001
1.850000e+000	9.612752e-001	-4.885599e-008	-3.912131e-008	-2.755902e-001	-2.755902e-001
1.860000e+000	9.584713e-001	-5.019019e-008	-4.048391e-008	-2.851890e-001	-2.851890e-001
1.870000e+000	9.555715e-001	-5.151937e-008	-4.184245e-008	-2.947593e-001	-2.947593e-001
1.880000e+000	9.525762e-001	-5.284340e-008	-4.319682e-008	-3.043001e-001	-3.043001e-001
1.890000e+000	9.494856e-001	-5.416215e-008	-4.454686e-008	-3.138105e-001	-3.138105e-001
1.900000e+000	9.463001e-001	-5.547548e-008	-4.589245e-008	-3.232895e-001	-3.232895e-001
1.910000e+000	9.430199e-001	-5.678326e-008	-4.723345e-008	-3.327362e-001	-3.327362e-001
1.920000e+000	9.396455e-001	-5.808537e-008	-4.856973e-008	-3.421496e-001	-3.421496e-001
1.930000e+000	9.361771e-001	-5.938166e-008	-4.990115e-008	-3.515288e-001	-3.515288e-001
1.940000e+000	9.326150e-001	-6.067202e-008	-5.122758e-008	-3.608728e-001	-3.608728e-001
1.950000e+000	9.289597e-001	-6.195631e-008	-5.254888e-008	-3.701808e-001	-3.701808e-001
1.960000e+000	9.252115e-001	-6.323440e-008	-5.386493e-008	-3.794517e-001	-3.794517e-001
1.970000e+000	9.213708e-001	-6.450617e-008	-5.517560e-008	-3.886847e-001	-3.886847e-001
1.980000e+000	9.174380e-001	-6.577149e-008	-5.648075e-008	-3.978788e-001	-3.978788e-001
1.990000e+000	9.134134e-001	-6.703024e-008	-5.778025e-008	-4.070331e-001	-4.070331e-001
2.000000e+000	9.092974e-001	-6.828228e-008	-5.907397e-008	-4.161468e-001	-4.161468e-001
