x	sin(x)	Ff	Fc	cos(x)-Ff	cos(x)-Fc
1.080000e+000	8.819578e-001	4.713283e-001	4.713284e-001	4.446710e-008	5.817522e-011
1.090000e+000	8.866269e-001	4.624853e-001	4.624854e-001	4.461407e-008	-3.499625e-010
1.100000e+000	8.912074e-001	4.535961e-001	4.535961e-001	4.406007e-008	-3.488477e-010
1.110000e+000	8.956987e-001	4.446615e-001	4.446615e-001	4.465405e-008	-3.099859e-010
1.120000e+000	9.001004e-001	4.356824e-001	4.356824e-001	4.500925e-008	4.522247e-011
1.130000e+000	9.044122e-001	4.266598e-001	4.266598e-001	4.485484e-008	-6.643085e-010
1.140000e+000	9.086335e-001	4.175945e-001	4.175945e-001	4.494601e-008	-5.731359e-010
1.150000e+000	9.127639e-001	4.084874e-001	4.084874e-001	4.586363e-008	-2.106282e-010
1.160000e+000	9.168031e-001	3.993395e-001	3.993395e-001	4.570309e-008	-3.711703e-010
1.170000e+000	9.207506e-001	3.901516e-001	3.901517e-001	4.664458e-008	1.521304e-011
1.180000e+000	9.246060e-001	3.809248e-001	3.809248e-001	4.597985e-008	-9.440073e-011
1.190000e+000	9.283690e-001	3.716598e-001	3.716599e-001	4.601233e-008	-6.192853e-011
1.200000e+000	9.320391e-001	3.623577e-001	3.623578e-001	4.619326e-008	1.190055e-010
1.210000e+000	9.356160e-001	3.530194e-001	3.530194e-001	4.635979e-008	-2.695781e-010
1.220000e+000	9.390994e-001	3.436457e-001	3.436457e-001	4.664189e-008	1.252369e-011
1.230000e+000	9.424888e-001	3.342377e-001	3.342377e-001	4.736901e-008	1.845341e-010
1.240000e+000	9.457840e-001	3.247962e-001	3.247963e-001	4.675589e-008	-4.285926e-010
1.250000e+000	9.489846e-001	3.153223e-001	3.153224e-001	4.746979e-008	-2.698036e-010
1.260000e+000	9.520903e-001	3.058169e-001	3.058169e-001	4.765434e-008	-8.525249e-011
1.270000e+000	9.551009e-001	2.962808e-001	2.962809e-001	4.749611e-008	-2.434793e-010
1.280000e+000	9.580159e-001	2.867152e-001	2.867152e-001	4.801935e-008	-2.753521e-010
1.290000e+000	9.608351e-001	2.771208e-001	2.771209e-001	4.765994e-008	-7.964858e-011
1.300000e+000	9.635582e-001	2.674988e-001	2.674988e-001	4.772088e-008	-1.871127e-011
1.310000e+000	9.661850e-001	2.578500e-001	2.578500e-001	4.894565e-008	9.583383e-011
1.320000e+000	9.687151e-001	2.481754e-001	2.481755e-001	4.809134e-008	-2.033646e-010
1.330000e+000	9.711484e-001	2.384760e-001	2.384761e-001	4.893439e-008	8.457636e-011
1.340000e+000	9.734845e-001	2.287528e-001	2.287528e-001	4.885117e-008	1.360790e-012
1.350000e+000	9.757234e-001	2.190066e-001	2.190067e-001	4.871300e-008	-1.368095e-010
1.360000e+000	9.778646e-001	2.092386e-001	2.092387e-001	4.834801e-008	5.331104e-011
1.370000e+000	9.799081e-001	1.994497e-001	1.994497e-001	4.866414e-008	-1.856705e-010
1.380000e+000	9.818535e-001	1.896408e-001	1.896408e-001	4.822079e-008	-6.290183e-010
1.390000e+000	9.837008e-001	1.798129e-001	1.798130e-001	4.868206e-008	-1.677558e-010
1.400000e+000	9.854497e-001	1.699671e-001	1.699671e-001	4.916750e-008	-2.374216e-010
1.410000e+000	9.871001e-001	1.601043e-001	1.601043e-001	4.948458e-008	7.965694e-011
1.420000e+000	9.886518e-001	1.502254e-001	1.502255e-001	4.891994e-008	-4.849851e-010
1.430000e+000	9.901046e-001	1.403316e-001	1.403316e-001	4.947146e-008	-4.885732e-010
1.440000e+000	9.914583e-001	1.304237e-001	1.304237e-001	5.019838e-008	2.383394e-010
1.450000e+000	9.927130e-001	1.205027e-001	1.205028e-001	4.934275e-008	-6.217691e-011
1.460000e+000	9.938684e-001	1.105697e-001	1.105698e-001	4.978153e-008	-1.785021e-010
1.470000e+000	9.949243e-001	1.006257e-001	1.006257e-001	5.004558e-008	8.554570e-011
1.480000e+000	9.958808e-001	9.067157e-002	9.067162e-002	4.977142e-008	-1.886185e-010
1.490000e+000	9.967378e-001	8.070840e-002	8.070845e-002	5.071203e-008	1.968838e-010
1.500000e+000	9.974950e-001	7.073715e-002	7.073720e-002	4.997600e-008	1.596355e-011
1.510000e+000	9.981525e-001	6.075883e-002	6.075888e-002	4.991986e-008	-4.017463e-011
1.520000e+000	9.987101e-001	5.077443e-002	5.077449e-002	5.027685e-008	-2.383003e-010
1.530000e+000	9.991679e-001	4.078496e-002	4.078501e-002	4.916732e-008	-2.376042e-010
1.540000e+000	9.995258e-001	3.079141e-002	3.079146e-002	4.966027e-008	2.553476e-010
1.550000e+000	9.997838e-001	2.079478e-002	2.079483e-002	4.968142e-008	-2.786136e-010
1.560000e+000	9.999417e-001	1.079607e-002	1.079612e-002	4.968485e-008	-2.751896e-010
1.570000e+000	9.999997e-001	7.962764e-004	7.963263e-004	5.033256e-008	3.725283e-010
1.580000e+000	9.999576e-001	-9.203593e-003	-9.203543e-003	5.017411e-008	-3.410380e-010
1.590000e+000	9.998156e-001	-1.920254e-002	-1.920249e-002	4.998742e-008	2.738862e-011
1.600000e+000	9.995736e-001	-2.919957e-002	-2.919952e-002	4.934820e-008	-5.672924e-011
1.610000e+000	9.992316e-001	-3.919368e-002	-3.919363e-002	4.986053e-008	-9.950460e-011
1.620000e+000	9.987897e-001	-4.918387e-002	-4.918382e-002	4.950588e-008	-4.541523e-010
1.630000e+000	9.982480e-001	-5.916914e-002	-5.916909e-002	4.920444e-008	-2.004826e-010
1.640000e+000	9.976064e-001	-6.914850e-002	-6.914845e-002	4.938457e-008	-2.035866e-011
1.650000e+000	9.968650e-001	-7.912094e-002	-7.912089e-002	4.988293e-008	-7.710167e-011
1.660000e+000	9.960240e-001	-8.908547e-002	-8.908542e-002	4.984475e-008	-1.152828e-010
1.670000e+000	9.950833e-001	-9.904109e-002	-9.904104e-002	4.984448e-008	-1.155576e-010
1.680000e+000	9.940432e-001	-1.089868e-001	-1.089868e-001	4.956573e-008	-3.943090e-010
1.690000e+000	9.929037e-001	-1.189216e-001	-1.189216e-001	4.992217e-008	-3.786823e-011
1.700000e+000	9.916648e-001	-1.288445e-001	-1.288445e-001	4.962740e-008	2.224730e-010
1.710000e+000	9.903268e-001	-1.387546e-001	-1.387545e-001	5.064671e-008	1.315614e-010
1.720000e+000	9.888898e-001	-1.486507e-001	-1.486507e-001	4.921608e-008	-1.888450e-010
1.730000e+000	9.873538e-001	-1.585320e-001	-1.585320e-001	4.906575e-008	2.159352e-010
1.740000e+000	9.857192e-001	-1.683975e-001	-1.683974e-001	4.910880e-008	2.589903e-010
1.750000e+000	9.839859e-001	-1.782461e-001	-1.782461e-001	5.000371e-008	4.367194e-011
1.760000e+000	9.821543e-001	-1.880769e-001	-1.880768e-001	4.961476e-008	2.098318e-010
1.770000e+000	9.802245e-001	-1.978889e-001	-1.978888e-001	4.957493e-008	1.700022e-010
1.780000e+000	9.781966e-001	-2.076811e-001	-2.076810e-001	4.963646e-008	2.315357e-010
