t	y	v	
3.350000	39394.819639	-32.827149	0.000000	0.000000
3.360000	39394.490390	-32.924922	0.000000	0.000000
3.370000	39394.160163	-33.022694	0.000000	0.000000
3.380000	39393.828958	-33.120455	0.000000	0.000000
3.390000	39393.496776	-33.218215	0.000000	0.000000
3.400000	39393.163616	-33.315974	0.000000	0.000000
3.410000	39392.829479	-33.413732	0.000000	0.000000
3.420000	39392.494364	-33.511488	0.000000	0.000000
3.430000	39392.158272	-33.609244	0.000000	0.000000
3.440000	39391.821202	-33.706999	0.000000	0.000000
3.450000	39391.483154	-33.804753	0.000000	0.000000
3.460000	39391.144129	-33.902505	0.000000	0.000000
3.470000	39390.804127	-34.000257	0.000000	0.000000
3.480000	39390.463147	-34.097997	0.000000	0.000000
3.490000	39390.121189	-34.195736	0.000000	0.000000
3.500000	39389.778254	-34.293474	0.000000	0.000000
3.510000	39389.434342	-34.391211	0.000000	0.000000
3.520000	39389.089453	-34.488947	0.000000	0.000000
3.530000	39388.743586	-34.586682	0.000000	0.000000
3.540000	39388.396742	-34.684416	0.000000	0.000000
3.550000	39388.048920	-34.782148	0.000000	0.000000
3.560000	39387.700122	-34.879880	0.000000	0.000000
3.570000	39387.350346	-34.977611	0.000000	0.000000
3.580000	39386.999592	-35.075340	0.000000	0.000000
3.590000	39386.647862	-35.173058	0.000000	0.000000
3.600000	39386.295154	-35.270774	0.000000	0.000000
3.610000	39385.941469	-35.368490	0.000000	0.000000
3.620000	39385.586807	-35.466204	0.000000	0.000000
3.630000	39385.231168	-35.563917	0.000000	0.000000
3.640000	39384.874551	-35.661630	0.000000	0.000000
3.650000	39384.516958	-35.759341	0.000000	0.000000
3.660000	39384.158387	-35.857051	0.000000	0.000000
3.670000	39383.798840	-35.954760	0.000000	0.000000
3.680000	39383.438315	-36.052468	0.000000	0.000000
3.690000	39383.076814	-36.150163	0.000000	0.000000
3.700000	39382.714335	-36.247857	0.000000	0.000000
3.710000	39382.350879	-36.345551	0.000000	0.000000
3.720000	39381.986447	-36.443243	0.000000	0.000000
3.730000	39381.621038	-36.540934	0.000000	0.000000
3.740000	39381.254651	-36.638624	0.000000	0.000000
3.750000	39380.887288	-36.736313	0.000000	0.000000
3.760000	39380.518948	-36.834001	0.000000	0.000000
3.770000	39380.149631	-36.931687	0.000000	0.000000
3.780000	39379.779338	-37.029373	0.000000	0.000000
3.790000	39379.408067	-37.127045	0.000000	0.000000
3.800000	39379.035820	-37.224717	0.000000	0.000000
3.810000	39378.662596	-37.322388	0.000000	0.000000
3.820000	39378.288396	-37.420057	0.000000	0.000000
3.830000	39377.913218	-37.517725	0.000000	0.000000
3.840000	39377.537064	-37.615392	0.000000	0.000000
3.850000	39377.159934	-37.713058	0.000000	0.000000
3.860000	39376.781827	-37.810723	0.000000	0.000000
3.870000	39376.402743	-37.908387	0.000000	0.000000
3.880000	39376.022682	-38.006049	0.000000	0.000000
3.890000	39375.641645	-38.103699	0.000000	0.000000
3.900000	39375.259632	-38.201347	0.000000	0.000000
3.910000	39374.876642	-38.298994	0.000000	0.000000
3.920000	39374.492676	-38.396640	0.000000	0.000000
3.930000	39374.107733	-38.494285	0.000000	0.000000
3.940000	39373.721813	-38.591928	0.000000	0.000000
3.950000	39373.334918	-38.689571	0.000000	0.000000
3.960000	39372.947046	-38.787212	0.000000	0.000000
3.970000	39372.558197	-38.884852	0.000000	0.000000
3.980000	39372.168372	-38.982491	0.000000	0.000000
3.990000	39371.777571	-39.080129	0.000000	0.000000
4.000000	39371.385793	-39.177753	0.000000	0.000000
4.010000	39370.993040	-39.275376	0.000000	0.000000
4.020000	39370.599310	-39.372998	0.000000	0.000000
4.030000	39370.204603	-39.470619	0.000000	0.000000
4.040000	39369.808921	-39.568238	0.000000	0.000000
4.050000	39369.412262	-39.665856	0.000000	0.000000
4.060000	39369.014628	-39.763473	0.000000	0.000000
4.070000	39368.616017	-39.861089	0.000000	0.000000
4.080000	39368.216430	-39.958704	0.000000	0.000000
4.090000	39367.815867	-40.056317	0.000000	0.000000
4.100000	39367.414327	-40.153917	0.000000	0.000000
4.110000	39367.011812	-40.251515	0.000000	0.000000
4.120000	39366.608321	-40.349112	0.000000	0.000000
4.130000	39366.203854	-40.446708	0.000000	0.000000
4.140000	39365.798411	-40.544303	0.000000	0.000000
