time	x	y	v_x	v_y
17400.000000	-15161750.511951	6636087.913831	-2675.758576	-2786.176930
17500.000000	-15422645.586738	6354603.694780	-2542.285927	-2842.876007
17600.000000	-15670235.685220	6067636.141329	-2409.653027	-2895.871623
17700.000000	-15904602.945294	5775547.447580	-2277.822837	-2945.324378
17800.000000	-16125825.718202	5478684.459591	-2146.756727	-2991.380830
17900.000000	-16333978.427076	5177380.022052	-2016.414818	-3034.174624
18000.000000	-16529131.457063	4871954.219348	-1886.756272	-3073.827478
18100.000000	-16711351.071181	4562715.522572	-1757.739519	-3110.450079
18200.000000	-16880699.347070	4249961.852840	-1629.322449	-3144.142864
18300.000000	-17037234.130588	3933981.570158	-1501.462559	-3174.996727
18400.000000	-17181009.002878	3615054.396169	-1374.117075	-3203.093640
18500.000000	-17312073.258079	3293452.278305	-1247.243045	-3228.507202
18600.000000	-17430471.889338	2969440.202129	-1120.797412	-3251.303126
18700.000000	-17536245.581154	2643276.958045	-994.737067	-3271.539670
18800.000000	-17629430.706418	2315215.868035	-869.018893	-3289.268002
18900.000000	-17710059.326794	1985505.477599	-743.599786	-3304.532532
19000.000000	-17778159.195317	1654390.217672	-618.436678	-3317.371186
19100.000000	-17833753.760282	1322111.040991	-493.486545	-3327.815637
19200.000000	-17876862.169683	988906.037060	-368.706405	-3335.891505
19300.000000	-17907499.275593	655011.029643	-244.053320	-3341.618509
19400.000000	-17925675.638024	320660.160536	-119.484385	-3345.010585
19500.000000	-17931397.527908	-13913.536804	5.043278	-3346.075975
19600.000000	-17924666.928980	-348477.570280	129.572537	-3344.817271
19700.000000	-17905481.538388	-682799.425421	254.146259	-3341.231432
19800.000000	-17873834.766027	-1016646.001518	378.807323	-3335.309768
19900.000000	-17829715.732609	-1349783.044242	503.598636	-3327.037886
20000.000000	-17773109.266648	-1681974.571346	628.563136	-3316.395603
20100.000000	-17703995.900590	-2012982.287942	753.743807	-3303.356826
20200.000000	-17622351.866463	-2342564.987767	879.183675	-3287.889391
20300.000000	-17528149.091504	-2670477.936676	1004.925807	-3269.954868
20400.000000	-17421355.194396	-2996472.234420	1131.013305	-3249.508321
20500.000000	-17301933.482862	-3320294.150518	1257.489284	-3226.498032
20600.000000	-17169842.953558	-3641684.429763	1384.396844	-3200.865166
20700.000000	-17025038.295412	-3960377.562522	1511.779031	-3172.543400
20800.000000	-16867469.897778	-4276101.014643	1639.678779	-3141.458492
20900.000000	-16697083.865068	-4588574.411259	1768.138840	-3107.527783
21000.000000	-16513822.039857	-4897508.668280	1897.201681	-3070.659647
21100.000000	-16317622.036847	-5202605.064714	2026.909369	-3030.752862
21200.000000	-16108417.290549	-5503554.248250	2157.303413	-2987.695899
21300.000000	-15886137.120105	-5800035.165701	2288.424575	-2941.366128
21400.000000	-15650706.815372	-6091713.908977	2420.312636	-2891.628923
21500.000000	-15402047.749158	-6378242.466135	2553.006103	-2838.336655
21600.000000	-15140077.521550	-6659257.365865	2686.541858	-2781.327567
