time	x	y	v_x	v_y
556440.000000	-2453018493.802299	3864624638.213588	-4366.092683	6903.050016	19076571.413108
556500.000000	-2453280459.344823	3865038821.185503	-4366.092068	6903.049048	19076566.046500
556560.000000	-2453542424.850491	3865453004.099351	-4366.091454	6903.048080	19076560.681043
556620.000000	-2453804390.319308	3865867186.955144	-4366.090840	6903.047113	19076555.316737
556680.000000	-2454066355.751285	3866281369.752895	-4366.090226	6903.046146	19076549.953581
556740.000000	-2454328321.146427	3866695552.492616	-4366.089612	6903.045178	19076544.591575
556800.000000	-2454590286.504744	3867109735.174319	-4366.088998	6903.044212	19076539.230719
556860.000000	-2454852251.826242	3867523917.798017	-4366.088385	6903.043245	19076533.871012
556920.000000	-2455114217.110930	3867938100.363721	-4366.087771	6903.042279	19076528.512453
556980.000000	-2455376182.358817	3868352282.871446	-4366.087158	6903.041312	19076523.155044
557040.000000	-2455638147.569909	3868766465.321203	-4366.086545	6903.040346	19076517.798782
557100.000000	-2455900112.744214	3869180647.713004	-4366.085932	6903.039380	19076512.443668
557160.000000	-2456162077.881741	3869594830.046861	-4366.085319	6903.038415	19076507.089702
557220.000000	-2456424042.982498	3870009012.322788	-4366.084706	6903.037449	19076501.736883
557280.000000	-2456686008.046491	3870423194.540797	-4366.084094	6903.036484	19076496.385210
557340.000000	-2456947973.073730	3870837376.700899	-4366.083481	6903.035519	19076491.034684
557400.000000	-2457209938.064222	3871251558.803108	-4366.082869	6903.034554	19076485.685303
557460.000000	-2457471903.017974	3871665740.847435	-4366.082256	6903.033590	19076480.337068
557520.000000	-2457733867.934996	3872079922.833893	-4366.081644	6903.032625	19076474.989978
557580.000000	-2457995832.815293	3872494104.762495	-4366.081032	6903.031661	19076469.644033
557640.000000	-2458257797.658876	3872908286.633252	-4366.080420	6903.030697	19076464.299233
557700.000000	-2458519762.465750	3873322468.446178	-4366.079809	6903.029734	19076458.955577
557760.000000	-2458781727.235924	3873736650.201284	-4366.079197	6903.028770	19076453.613064
557820.000000	-2459043691.969407	3874150831.898582	-4366.078586	6903.027807	19076448.271695
557880.000000	-2459305656.666205	3874565013.538086	-4366.077974	6903.026844	19076442.931468
557940.000000	-2459567621.326327	3874979195.119807	-4366.077363	6903.025881	19076437.592385
558000.000000	-2459829585.949780	3875393376.643758	-4366.076752	6903.024918	19076432.254443
558060.000000	-2460091550.536573	3875807558.109951	-4366.076141	6903.023955	19076426.917644
558120.000000	-2460353515.086712	3876221739.518398	-4366.075530	6903.022993	19076421.581986
558180.000000	-2460615479.600207	3876635920.869113	-4366.074920	6903.022031	19076416.247469
558240.000000	-2460877444.077065	3877050102.162106	-4366.074309	6903.021069	19076410.914093
558300.000000	-2461139408.517293	3877464283.397390	-4366.073699	6903.020107	19076405.581857
