time	x	y	v_x	v_y
152880.000004	263924872.765086	42355884.975100	883.508399	-146.407118
152940.000004	263977873.817679	42347098.772943	883.193377	-146.466281
153000.000004	264030855.973017	42338309.022089	882.878491	-146.525408
153060.000004	264083819.239290	42329515.724659	882.563741	-146.584500
153120.000004	264136763.624681	42320718.882773	882.249128	-146.643557
153180.000004	264189689.137370	42311918.498545	881.934651	-146.702578
153240.000004	264242595.785528	42303114.574087	881.620310	-146.761564
153300.000004	264295483.577321	42294307.111511	881.306106	-146.820516
153360.000004	264348352.520910	42285496.112922	880.992037	-146.879432
153420.000004	264401202.624450	42276681.580424	880.678104	-146.938313
153480.000004	264454033.896088	42267863.516119	880.364307	-146.997158
153540.000004	264506846.343967	42259041.922105	880.050645	-147.055970
153600.000004	264559639.976223	42250216.800476	879.737119	-147.114746
153660.000004	264612414.800988	42241388.153327	879.423729	-147.173487
153720.000004	264665170.826386	42232555.982745	879.110474	-147.232193
153780.000004	264717908.060535	42223720.290818	878.797354	-147.290865
153840.000004	264770626.511549	42214881.079630	878.484369	-147.349502
153900.000004	264823326.187535	42206038.351262	878.171520	-147.408104
153960.000004	264876007.096595	42197192.107791	877.858805	-147.466672
154020.000004	264928669.246822	42188342.351294	877.546225	-147.525205
154080.000004	264981312.646307	42179489.083843	877.233780	-147.583704
154140.000004	265033937.303134	42170632.307507	876.921470	-147.642168
154200.000004	265086543.225380	42161772.024353	876.609294	-147.700598
154260.000004	265139130.421116	42152908.236445	876.297253	-147.758993
154320.000004	265191698.898410	42144040.945845	875.985346	-147.817354
154380.000004	265244248.665322	42135170.154610	875.673573	-147.875681
154440.000005	265296779.729907	42126295.864796	875.361935	-147.933974
154500.000005	265349292.100213	42117418.078456	875.050431	-147.992232
154560.000005	265401785.784282	42108536.797640	874.739061	-148.050456
154620.000005	265454260.790153	42099652.024394	874.427824	-148.108646
154680.000005	265506717.125857	42090763.760763	874.116722	-148.166802
154740.000005	265559154.799418	42081872.008788	873.805753	-148.224924
154800.000005	265611573.818859	42072976.770508	873.494918	-148.283013
154860.000005	265663974.192192	42064078.047959	873.184216	-148.341067
154920.000005	265716355.927426	42055175.843174	872.873648	-148.399087
154980.000005	265768719.032565	42046270.158182	872.563213	-148.457074
155040.000005	265821063.515604	42037360.995012	872.252911	-148.515026
155100.000005	265873389.384537	42028448.355687	871.942742	-148.572945
155160.000005	265925696.647347	42019532.242230	871.632707	-148.630831
155220.000005	265977985.312017	42010612.656660	871.322804	-148.688683
155280.000005	266030255.386518	42001689.600993	871.013035	-148.746501
155340.000005	266082506.878821	41992763.077243	870.703398	-148.804285
155400.000005	266134739.796889	41983833.087420	870.393893	-148.862037
155460.000005	266186954.148678	41974899.633532	870.084522	-148.919754
155520.000005	266239149.942141	41965962.717584	869.775282	-148.977438
155580.000005	266291327.185224	41957022.341579	869.466176	-149.035089
155640.000005	266343485.885867	41948078.507516	869.157201	-149.092707
155700.000005	266395626.052005	41939131.217393	868.848359	-149.150291
155760.000005	266447747.691567	41930180.473204	868.539649	-149.207843
155820.000005	266499850.812478	41921226.276939	868.231070	-149.265361
155880.000005	266551935.422655	41912268.630587	867.922624	-149.322846
155940.000005	266604001.530011	41903307.536135	867.614310	-149.380297
156000.000005	266656049.142453	41894342.995565	867.306127	-149.437716
156060.000005	266708078.267883	41885375.010858	866.998076	-149.495102
156120.000005	266760088.914196	41876403.583992	866.690156	-149.552455
156180.000005	266812081.089282	41867428.716941	866.382368	-149.609775
156240.000005	266864054.801027	41858450.411677	866.074712	-149.667062
156300.000005	266916010.057310	41849468.670171	865.767186	-149.724316
156360.000005	266967946.866004	41840483.494389	865.459792	-149.781538
156420.000005	267019865.234978	41831494.886294	865.152529	-149.838727
156480.000005	267071765.172095	41822502.847848	864.845397	-149.895883
156540.000005	267123646.685211	41813507.381010	864.538396	-149.953006
156600.000005	267175509.782180	41804508.487735	864.231525	-150.010097
156660.000005	267227354.470846	41795506.169977	863.924785	-150.067156
156720.000005	267279180.759052	41786500.429686	863.618176	-150.124182
156780.000005	267330988.654632	41777491.268810	863.311698	-150.181175
156840.000005	267382778.165416	41768478.689294	863.005350	-150.238136
156900.000005	267434549.299230	41759462.693080	862.699132	-150.295065
156960.000005	267486302.063892	41750443.282107	862.393045	-150.351962
157020.000005	267538036.467215	41741420.458313	862.087088	-150.408826
157080.000005	267589752.517009	41732394.223633	861.781261	-150.465658
157140.000005	267641450.221076	41723364.579996	861.475563	-150.522458
157200.000005	267693129.587214	41714331.529333	861.169996	-150.579226
157260.000005	267744790.623214	41705295.073570	860.864559	-150.635961
157320.000005	267796433.336864	41696255.214629	860.559251	-150.692665
157380.000005	267848057.735944	41687211.954432	860.254073	-150.749336
157440.000005	267899663.828231	41678165.294898	859.949025	-150.805976
157500.000005	267951251.621496	41669115.237940	859.644106	-150.862584
157560.000005	268002821.123504	41660061.785473	859.339316	-150.919160
157620.000005	268054372.342015	41651004.939407	859.034656	-150.975704
157680.000005	268105905.284784	41641944.701648	858.730125	-151.032216
157740.000005	268157419.959559	41632881.074102	858.425723	-151.088697
157800.000005	268208916.374085	41623814.058671	858.121450	-151.145146
157860.000005	268260394.536101	41614743.657254	857.817306	-151.201563
157920.000005	268311854.453340	41605669.871748	857.513290	-151.257949
157980.000005	268363296.133530	41596592.704048	857.209404	-151.314303
158040.000005	268414719.584395	41587512.156045	856.905646	-151.370625
158100.000005	268466124.813652	41578428.229628	856.602017	-151.426917
158160.000005	268517511.829013	41569340.926683	856.298516	-151.483176
158220.000005	268568880.638185	41560250.249094	855.995144	-151.539405
158280.000005	268620231.248870	41551156.198741	855.691900	-151.595602
158340.000005	268671563.668765	41542058.777504	855.388784	-151.651768
158400.000005	268722877.905562	41532957.987258	855.085797	-151.707902
158460.000005	268774173.966946	41523853.829876	854.782937	-151.764005
158520.000005	268825451.860599	41514746.307228	854.480206	-151.820078
158580.000005	268876711.594195	41505635.421183	854.177602	-151.876119
158640.000005	268927953.175406	41496521.173606	853.875126	-151.932129
158700.000005	268979176.611897	41487403.566358	853.572778	-151.988108
158760.000005	269030381.911330	41478282.601301	853.270558	-152.044056
158820.000005	269081569.081357	41469158.280292	852.968465	-152.099973
158880.000005	269132738.129630	41460030.605186	852.666499	-152.155859
158940.000005	269183889.063793	41450899.577834	852.364661	-152.211714
159000.000005	269235021.891486	41441765.200087	852.062950	-152.267539
159060.000005	269286136.620343	41432627.473790	851.761366	-152.323333
159120.000005	269337233.257994	41423486.400790	851.459910	-152.379096
159180.000005	269388311.812063	41414341.982927	851.158580	-152.434828
159240.000005	269439372.290169	41405194.222041	850.857378	-152.490530
159300.000005	269490414.699925	41396043.119968	850.556302	-152.546201
159360.000005	269541439.048943	41386888.678542	850.255353	-152.601842
159420.000005	269592445.344825	41377730.899596	849.954531	-152.657452
159480.000005	269643433.595169	41368569.784957	849.653835	-152.713031
159540.000005	269694403.807568	41359405.336452	849.353266	-152.768580
159600.000005	269745355.989612	41350237.555905	849.052823	-152.824099
159660.000005	269796290.148885	41341066.445136	848.752507	-152.879588
159720.000005	269847206.292966	41331892.005965	848.452317	-152.935046
159780.000005	269898104.429426	41322714.240208	848.152253	-152.990474
159840.000005	269948984.565836	41313533.149677	847.852315	-153.045872
159900.000005	269999846.709757	41304348.736184	847.552503	-153.101240
159960.000005	270050690.868752	41295161.001538	847.252817	-153.156577
160020.000005	270101517.050368	41285969.947543	846.953257	-153.211884
160080.000005	270152325.262158	41276775.576003	846.653823	-153.267162
160140.000005	270203115.511664	41267577.888718	846.354515	-153.322409
160200.000005	270253887.806424	41258376.887488	846.055332	-153.377627
160260.000005	270304642.153973	41249172.574107	845.756274	-153.432814
160320.000005	270355378.561838	41239964.950368	845.457342	-153.487972
160380.000005	270406097.037543	41230754.018062	845.158536	-153.543100
160440.000005	270456797.588607	41221539.778977	844.859854	-153.598198
160500.000005	270507480.222543	41212322.234898	844.561298	-153.653266
160560.000005	270558144.946860	41203101.387607	844.262867	-153.708305
160620.000005	270608791.769062	41193877.238887	843.964561	-153.763314
160680.000005	270659420.696648	41184649.790513	843.666380	-153.818293
160740.000005	270710031.737111	41175419.044261	843.368323	-153.873243
160800.000005	270760624.897942	41166185.001905	843.070392	-153.928164
160860.000005	270811200.186623	41156947.665214	842.772585	-153.983054
160920.000005	270861757.610635	41147707.035956	842.474903	-154.037916
160980.000005	270912297.177453	41138463.115896	842.177345	-154.092748
161040.000005	270962818.894543	41129215.906796	841.879912	-154.147551
161100.000005	271013322.769373	41119965.410418	841.582603	-154.202324
161160.000005	271063808.809401	41110711.628519	841.285419	-154.257068
161220.000005	271114277.022083	41101454.562853	840.988358	-154.311783
161280.000005	271164727.414869	41092194.215174	840.691422	-154.366468
161340.000005	271215159.995204	41082930.587231	840.394610	-154.421125
161400.000005	271265574.770528	41073663.680773	840.097922	-154.475752
161460.000005	271315971.748278	41064393.497543	839.801357	-154.530351
161520.000005	271366350.935884	41055120.039286	839.504917	-154.584920
161580.000005	271416712.340773	41045843.307740	839.208600	-154.639460
161640.000005	271467055.970364	41036563.304645	838.912407	-154.693972
161700.000005	271517381.832075	41027280.031734	838.616337	-154.748454
161760.000005	271567689.933318	41017993.490741	838.320391	-154.802908
161820.000005	271617980.281500	41008703.683396	838.024569	-154.857332
161880.000005	271668252.884023	40999410.611426	837.728869	-154.911728
161940.000005	271718507.748283	40990114.276557	837.433293	-154.966096
162000.000005	271768744.881674	40980814.680511	837.137840	-155.020434
162060.000005	271818964.291583	40971511.825009	836.842511	-155.074744
162120.000005	271869165.985395	40962205.711769	836.547304	-155.129026
162180.000005	271919349.970486	40952896.342505	836.252220	-155.183278
162240.000005	271969516.254232	40943583.718932	835.957259	-155.237503
162300.000005	272019664.844000	40934267.842759	835.662421	-155.291698
162360.000005	272069795.747155	40924948.715694	835.367705	-155.345866
162420.000005	272119908.971058	40915626.339442	835.073112	-155.400005
162480.000005	272170004.523063	40906300.715708	834.778642	-155.454115
162540.000005	272220082.410521	40896971.846191	834.484294	-155.508197
162600.000005	272270142.640776	40887639.732589	834.190068	-155.562251
162660.000005	272320185.221169	40878304.376599	833.895965	-155.616277
162720.000005	272370210.159037	40868965.779913	833.601984	-155.670275
162780.000005	272420217.461712	40859623.944222	833.308125	-155.724244
162840.000005	272470207.136521	40850278.871215	833.014389	-155.778185
162900.000005	272520179.190786	40840930.562577	832.720774	-155.832098
162960.000005	272570133.631825	40831579.019992	832.427281	-155.885983
163020.000005	272620070.466951	40822224.245141	832.133910	-155.939840
163080.000005	272669989.703471	40812866.239703	831.840661	-155.993670
163140.000005	272719891.348692	40803505.005353	831.547533	-156.047471
163200.000005	272769775.409911	40794140.543766	831.254528	-156.101244
163260.000005	272819641.894424	40784772.856613	830.961643	-156.154990
163320.000005	272869490.809520	40775401.945563	830.668880	-156.208707
163380.000005	272919322.162485	40766027.812282	830.376239	-156.262397
163440.000005	272969135.960599	40756650.458434	830.083719	-156.316060
163500.000005	273018932.211141	40747269.885681	829.791320	-156.369694
163560.000005	273068710.921381	40737886.095682	829.499042	-156.423301
163620.000005	273118472.098587	40728499.090094	829.206885	-156.476881
163680.000005	273168215.750021	40719108.870571	828.914849	-156.530432
163740.000005	273217941.882942	40709715.438765	828.622935	-156.583957
163800.000005	273267650.504605	40700318.796327	828.331141	-156.637453
163860.000005	273317341.622256	40690918.944902	828.039468	-156.690923
163920.000005	273367015.243142	40681515.886137	827.747915	-156.744365
163980.000005	273416671.374502	40672109.621672	827.456484	-156.797779
164040.000005	273466310.023574	40662700.153149	827.165172	-156.851167
164100.000005	273515931.197588	40653287.482204	826.873982	-156.904527
164160.000005	273565534.903769	40643871.610474	826.582911	-156.957860
164220.000005	273615121.149342	40634452.539590	826.291961	-157.011165
164280.000005	273664689.941524	40625030.271183	826.001132	-157.064444
164340.000005	273714241.287528	40615604.806882	825.710422	-157.117695
164400.000005	273763775.194563	40606176.148311	825.419833	-157.170919
164460.000005	273813291.669834	40596744.297094	825.129363	-157.224117
164520.000005	273862790.720542	40587309.254853	824.839014	-157.277287
164580.000005	273912272.353880	40577871.023205	824.548784	-157.330430
164640.000005	273961736.577042	40568429.603766	824.258674	-157.383547
164700.000005	274011183.397212	40558984.998151	823.968685	-157.436636
164760.000005	274060612.821575	40549537.207970	823.678814	-157.489699
164820.000005	274110024.857308	40540086.234833	823.389063	-157.542735
164880.000005	274159419.511585	40530632.080347	823.099432	-157.595744
164940.000005	274208796.791574	40521174.746115	822.809921	-157.648726
165000.000005	274258156.704441	40511714.233739	822.520528	-157.701682
165060.000005	274307499.257347	40502250.544820	822.231255	-157.754611
165120.000005	274356824.457448	40492783.680954	821.942101	-157.807513
165180.000005	274406132.311895	40483313.643736	821.653067	-157.860389
165240.000005	274455422.827836	40473840.434759	821.364151	-157.913239
165300.000005	274504696.012414	40464364.055613	821.075355	-157.966062
165360.000005	274553951.872768	40454884.507885	820.786677	-158.018858
165420.000005	274603190.416031	40445401.793161	820.498118	-158.071628
165480.000005	274652411.649336	40435915.913024	820.209678	-158.124372
165540.000005	274701615.579806	40426426.869055	819.921357	-158.177089
165600.000005	274750802.214565	40416934.662832	819.633155	-158.229780
165660.000005	274799971.560729	40407439.295931	819.345071	-158.282445
165720.000005	274849123.625410	40397940.769926	819.057105	-158.335084
165780.000005	274898258.415719	40388439.086389	818.769258	-158.387696
165840.000005	274947375.938758	40378934.246888	818.481530	-158.440283
165900.000005	274996476.201629	40369426.252991	818.193919	-158.492843
165960.000005	275045559.211427	40359915.106261	817.906427	-158.545377
166020.000005	275094624.975243	40350400.808260	817.619053	-158.597885
166080.000005	275143673.500165	40340883.360549	817.331797	-158.650367
166140.000005	275192704.793277	40331362.764685	817.044659	-158.702824
166200.000005	275241718.861657	40321839.022223	816.757640	-158.755254
166260.000005	275290715.712380	40312312.134715	816.470738	-158.807659
166320.000005	275339695.352517	40302782.103712	816.183953	-158.860037
166380.000005	275388657.789132	40293248.930763	815.897287	-158.912390
166440.000005	275437603.029290	40283712.617413	815.610738	-158.964717
166500.000005	275486531.080047	40274173.165206	815.324307	-159.017019
166560.000005	275535441.948458	40264630.575682	815.037993	-159.069294
166620.000005	275584335.641571	40255084.850381	814.751797	-159.121545
166680.000005	275633212.166432	40245535.990840	814.465718	-159.173769
166740.000005	275682071.530083	40235983.998592	814.179757	-159.225968
166800.000005	275730913.739560	40226428.875169	813.893912	-159.278142
166860.000005	275779738.801895	40216870.622103	813.608185	-159.330290
166920.000005	275828546.724119	40207309.240918	813.322575	-159.382412
166980.000005	275877337.513254	40197744.733142	813.037082	-159.434509
167040.000005	275926111.176322	40188177.100297	812.751706	-159.486581
167100.000005	275974867.720340	40178606.343902	812.466447	-159.538628
167160.000005	276023607.152319	40169032.465477	812.181305	-159.590649
167220.000005	276072329.479268	40159455.466538	811.896279	-159.642645
167280.000005	276121034.708190	40149875.348597	811.611371	-159.694616
167340.000005	276169722.846084	40140292.113167	811.326579	-159.746561
167400.000005	276218393.899948	40130705.761757	811.041903	-159.798482
167460.000005	276267047.876772	40121116.295872	810.757344	-159.850377
167520.000005	276315684.783544	40111523.717019	810.472901	-159.902247
167580.000005	276364304.627248	40101928.026698	810.188575	-159.954093
167640.000005	276412907.414863	40092329.226411	809.904365	-160.005913
167700.000005	276461493.153365	40082727.317654	809.620271	-160.057708
167760.000005	276510061.849724	40073122.301924	809.336294	-160.109479
167820.000005	276558613.510909	40063514.180713	809.052432	-160.161224
167880.000005	276607148.143883	40053902.955513	808.768686	-160.212945
167940.000005	276655665.755604	40044288.627811	808.485057	-160.264641
168000.000005	276704166.353028	40034671.199095	808.201543	-160.316312
